obfuscated,deobfuscated,mc_class
field_96303_A,fancyStyling,net/minecraft/util/EnumChatFormatting
field_96304_B,controlString,net/minecraft/util/EnumChatFormatting
field_175747_C,colorIndex,net/minecraft/util/EnumChatFormatting
$VALUES,$VALUES,net/minecraft/util/EnumChatFormatting
BLACK,BLACK,net/minecraft/util/EnumChatFormatting
DARK_BLUE,DARK_BLUE,net/minecraft/util/EnumChatFormatting
DARK_GREEN,DARK_GREEN,net/minecraft/util/EnumChatFormatting
DARK_AQUA,DARK_AQUA,net/minecraft/util/EnumChatFormatting
DARK_RED,DARK_RED,net/minecraft/util/EnumChatFormatting
DARK_PURPLE,DARK_PURPLE,net/minecraft/util/EnumChatFormatting
GOLD,GOLD,net/minecraft/util/EnumChatFormatting
GRAY,GRAY,net/minecraft/util/EnumChatFormatting
DARK_GRAY,DARK_GRAY,net/minecraft/util/EnumChatFormatting
BLUE,BLUE,net/minecraft/util/EnumChatFormatting
GREEN,GREEN,net/minecraft/util/EnumChatFormatting
AQUA,AQUA,net/minecraft/util/EnumChatFormatting
RED,RED,net/minecraft/util/EnumChatFormatting
LIGHT_PURPLE,LIGHT_PURPLE,net/minecraft/util/EnumChatFormatting
YELLOW,YELLOW,net/minecraft/util/EnumChatFormatting
WHITE,WHITE,net/minecraft/util/EnumChatFormatting
OBFUSCATED,OBFUSCATED,net/minecraft/util/EnumChatFormatting
BOLD,BOLD,net/minecraft/util/EnumChatFormatting
STRIKETHROUGH,STRIKETHROUGH,net/minecraft/util/EnumChatFormatting
UNDERLINE,UNDERLINE,net/minecraft/util/EnumChatFormatting
ITALIC,ITALIC,net/minecraft/util/EnumChatFormatting
RESET,RESET,net/minecraft/util/EnumChatFormatting
field_96331_x,nameMapping,net/minecraft/util/EnumChatFormatting
field_96330_y,formattingCodePattern,net/minecraft/util/EnumChatFormatting
field_175748_y,name,net/minecraft/util/EnumChatFormatting
field_96329_z,formattingCode,net/minecraft/util/EnumChatFormatting
field_150940_b,leaves,net/minecraft/item/ItemLeaves
field_96465_b,behaviourDefaultDispenseItem,net/minecraft/item/ItemMinecart$1
field_96602_b,dispenserMinecartBehavior,net/minecraft/item/ItemMinecart
field_77841_a,minecartType,net/minecraft/item/ItemMinecart
field_179542_a,field_179542_a,net/minecraft/item/ItemMultiTexture$1
field_179227_b,theBlock,net/minecraft/item/ItemMultiTexture
field_179228_c,nameFunction,net/minecraft/item/ItemMultiTexture
field_150915_c,EFFECTIVE_ON,net/minecraft/item/ItemPickaxe
field_77836_a,effectCache,net/minecraft/item/ItemPotion
field_77835_b,SUB_ITEMS_CACHE,net/minecraft/item/ItemPotion
COMMON,COMMON,net/minecraft/item/EnumRarity
UNCOMMON,UNCOMMON,net/minecraft/item/EnumRarity
RARE,RARE,net/minecraft/item/EnumRarity
EPIC,EPIC,net/minecraft/item/EnumRarity
field_77937_e,rarityColor,net/minecraft/item/EnumRarity
field_77934_f,rarityName,net/minecraft/item/EnumRarity
$VALUES,$VALUES,net/minecraft/item/EnumRarity
field_150929_a,recordName,net/minecraft/item/ItemRecord
field_150928_b,RECORDS,net/minecraft/item/ItemRecord
field_150908_b,crops,net/minecraft/item/ItemSeedFood
field_82809_c,soilId,net/minecraft/item/ItemSeedFood
field_150925_a,crops,net/minecraft/item/ItemSeeds
field_77838_b,soilBlockID,net/minecraft/item/ItemSeeds
field_150916_c,EFFECTIVE_ON,net/minecraft/item/ItemSpade
field_82807_a,skullTypes,net/minecraft/item/ItemSkull
field_150949_c,singleSlab,net/minecraft/item/ItemSlab
field_179226_c,doubleSlab,net/minecraft/item/ItemSlab
field_150934_a,attackDamage,net/minecraft/item/ItemSword
field_150933_b,material,net/minecraft/item/ItemSword
field_150944_b,coloredBlock,net/minecraft/item/ItemColored
field_150945_c,subtypeNames,net/minecraft/item/ItemColored
NONE,NONE,net/minecraft/item/EnumAction
EAT,EAT,net/minecraft/item/EnumAction
DRINK,DRINK,net/minecraft/item/EnumAction
BLOCK,BLOCK,net/minecraft/item/EnumAction
BOW,BOW,net/minecraft/item/EnumAction
$VALUES,$VALUES,net/minecraft/item/EnumAction
field_77924_a,unusedString,net/minecraft/potion/PotionHelper
field_77922_b,sugarEffect,net/minecraft/potion/PotionHelper
field_77923_c,ghastTearEffect,net/minecraft/potion/PotionHelper
field_77920_d,spiderEyeEffect,net/minecraft/potion/PotionHelper
field_77921_e,fermentedSpiderEyeEffect,net/minecraft/potion/PotionHelper
field_77918_f,speckledMelonEffect,net/minecraft/potion/PotionHelper
field_77919_g,blazePowderEffect,net/minecraft/potion/PotionHelper
field_77931_h,magmaCreamEffect,net/minecraft/potion/PotionHelper
field_77932_i,redstoneEffect,net/minecraft/potion/PotionHelper
field_77929_j,glowstoneEffect,net/minecraft/potion/PotionHelper
field_77930_k,gunpowderEffect,net/minecraft/potion/PotionHelper
field_82818_l,goldenCarrotEffect,net/minecraft/potion/PotionHelper
field_151423_m,pufferfishEffect,net/minecraft/potion/PotionHelper
field_179538_n,rabbitFootEffect,net/minecraft/potion/PotionHelper
field_179539_o,potionRequirements,net/minecraft/potion/PotionHelper
field_179540_p,potionAmplifiers,net/minecraft/potion/PotionHelper
field_77925_n,DATAVALUE_COLORS,net/minecraft/potion/PotionHelper
field_77926_o,potionPrefixes,net/minecraft/potion/PotionHelper
field_77611_a,recipePatterns,net/minecraft/item/crafting/RecipesArmor
field_77610_b,recipeItems,net/minecraft/item/crafting/RecipesArmor
field_92102_a,field_92102_a,net/minecraft/item/crafting/RecipeFireworks
field_77606_a,smeltingBase,net/minecraft/item/crafting/FurnaceRecipes
field_77604_b,smeltingList,net/minecraft/item/crafting/FurnaceRecipes
field_77605_c,experienceList,net/minecraft/item/crafting/FurnaceRecipes
field_77591_a,recipeItems,net/minecraft/item/crafting/RecipesIngots
field_77582_a,field_77582_a,net/minecraft/item/crafting/CraftingManager$1
field_77598_a,instance,net/minecraft/item/crafting/CraftingManager
field_77597_b,recipes,net/minecraft/item/crafting/CraftingManager
field_77576_b,recipeWidth,net/minecraft/item/crafting/ShapedRecipes
field_77577_c,recipeHeight,net/minecraft/item/crafting/ShapedRecipes
field_77574_d,recipeItems,net/minecraft/item/crafting/ShapedRecipes
field_77575_e,recipeOutput,net/minecraft/item/crafting/ShapedRecipes
field_92101_f,copyIngredientNBT,net/minecraft/item/crafting/ShapedRecipes
field_77580_a,recipeOutput,net/minecraft/item/crafting/ShapelessRecipes
field_77579_b,recipeItems,net/minecraft/item/crafting/ShapelessRecipes
field_77588_a,recipePatterns,net/minecraft/item/crafting/RecipesTools
field_77587_b,recipeItems,net/minecraft/item/crafting/RecipesTools
field_77585_a,recipePatterns,net/minecraft/item/crafting/RecipesWeapons
field_77584_b,recipeItems,net/minecraft/item/crafting/RecipesWeapons
field_77359_A,protectionName,net/minecraft/enchantment/EnchantmentDamage
field_77360_B,baseEnchantability,net/minecraft/enchantment/EnchantmentDamage
field_77362_C,levelEnchantability,net/minecraft/enchantment/EnchantmentDamage
field_77358_D,thresholdEnchantability,net/minecraft/enchantment/EnchantmentDamage
field_77361_a,damageType,net/minecraft/enchantment/EnchantmentDamage
field_151369_A,lure,net/minecraft/enchantment/Enchantment
field_77352_x,effectId,net/minecraft/enchantment/Enchantment
field_77351_y,type,net/minecraft/enchantment/Enchantment
field_77350_z,name,net/minecraft/enchantment/Enchantment
field_180307_E,locationEnchantments,net/minecraft/enchantment/Enchantment
field_77333_a,weight,net/minecraft/enchantment/Enchantment
field_180311_a,enchantmentsList,net/minecraft/enchantment/Enchantment
field_77331_b,enchantmentsBookList,net/minecraft/enchantment/Enchantment
field_180310_c,protection,net/minecraft/enchantment/Enchantment
field_77329_d,fireProtection,net/minecraft/enchantment/Enchantment
field_180309_e,featherFalling,net/minecraft/enchantment/Enchantment
field_77327_f,blastProtection,net/minecraft/enchantment/Enchantment
field_180308_g,projectileProtection,net/minecraft/enchantment/Enchantment
field_180317_h,respiration,net/minecraft/enchantment/Enchantment
field_77341_i,aquaAffinity,net/minecraft/enchantment/Enchantment
field_92091_k,thorns,net/minecraft/enchantment/Enchantment
field_180316_k,depthStrider,net/minecraft/enchantment/Enchantment
field_180314_l,sharpness,net/minecraft/enchantment/Enchantment
field_180315_m,smite,net/minecraft/enchantment/Enchantment
field_180312_n,baneOfArthropods,net/minecraft/enchantment/Enchantment
field_180313_o,knockback,net/minecraft/enchantment/Enchantment
field_77334_n,fireAspect,net/minecraft/enchantment/Enchantment
field_77335_o,looting,net/minecraft/enchantment/Enchantment
field_77349_p,efficiency,net/minecraft/enchantment/Enchantment
field_77348_q,silkTouch,net/minecraft/enchantment/Enchantment
field_77347_r,unbreaking,net/minecraft/enchantment/Enchantment
field_77346_s,fortune,net/minecraft/enchantment/Enchantment
field_77345_t,power,net/minecraft/enchantment/Enchantment
field_77344_u,punch,net/minecraft/enchantment/Enchantment
field_77343_v,flame,net/minecraft/enchantment/Enchantment
field_77342_w,infinity,net/minecraft/enchantment/Enchantment
field_151370_z,luckOfTheSea,net/minecraft/enchantment/Enchantment
ALL,ALL,net/minecraft/enchantment/EnumEnchantmentType
ARMOR,ARMOR,net/minecraft/enchantment/EnumEnchantmentType
ARMOR_FEET,ARMOR_FEET,net/minecraft/enchantment/EnumEnchantmentType
ARMOR_LEGS,ARMOR_LEGS,net/minecraft/enchantment/EnumEnchantmentType
ARMOR_TORSO,ARMOR_TORSO,net/minecraft/enchantment/EnumEnchantmentType
ARMOR_HEAD,ARMOR_HEAD,net/minecraft/enchantment/EnumEnchantmentType
WEAPON,WEAPON,net/minecraft/enchantment/EnumEnchantmentType
DIGGER,DIGGER,net/minecraft/enchantment/EnumEnchantmentType
FISHING_ROD,FISHING_ROD,net/minecraft/enchantment/EnumEnchantmentType
BREAKABLE,BREAKABLE,net/minecraft/enchantment/EnumEnchantmentType
BOW,BOW,net/minecraft/enchantment/EnumEnchantmentType
$VALUES,$VALUES,net/minecraft/enchantment/EnumEnchantmentType
field_151366_a,user,net/minecraft/enchantment/EnchantmentHelper$DamageIterator
field_151365_b,target,net/minecraft/enchantment/EnchantmentHelper$DamageIterator
field_151364_a,user,net/minecraft/enchantment/EnchantmentHelper$HurtIterator
field_151363_b,attacker,net/minecraft/enchantment/EnchantmentHelper$HurtIterator
field_77495_a,livingModifier,net/minecraft/enchantment/EnchantmentHelper$ModifierLiving
field_77494_b,entityLiving,net/minecraft/enchantment/EnchantmentHelper$ModifierLiving
field_77497_a,damageModifier,net/minecraft/enchantment/EnchantmentHelper$ModifierDamage
field_77496_b,source,net/minecraft/enchantment/EnchantmentHelper$ModifierDamage
field_77522_a,enchantmentRand,net/minecraft/enchantment/EnchantmentHelper
field_77520_b,enchantmentModifierDamage,net/minecraft/enchantment/EnchantmentHelper
field_77521_c,enchantmentModifierLiving,net/minecraft/enchantment/EnchantmentHelper
field_151388_d,ENCHANTMENT_ITERATOR_HURT,net/minecraft/enchantment/EnchantmentHelper
field_151389_e,ENCHANTMENT_ITERATOR_DAMAGE,net/minecraft/enchantment/EnchantmentHelper
field_76302_b,enchantmentobj,net/minecraft/enchantment/EnchantmentData
