obfuscated,deobfuscated,mc_class
func_175744_a,func_175744_a,net/minecraft/util/EnumChatFormatting
func_110646_a,getTextWithoutFormattingCodes,net/minecraft/util/EnumChatFormatting
func_96296_a,getValidValues,net/minecraft/util/EnumChatFormatting
func_175746_b,getColorIndex,net/minecraft/util/EnumChatFormatting
func_96300_b,getValueByName,net/minecraft/util/EnumChatFormatting
func_96301_b,isFancyStyling,net/minecraft/util/EnumChatFormatting
func_175745_c,func_175745_c,net/minecraft/util/EnumChatFormatting
func_96302_c,isColor,net/minecraft/util/EnumChatFormatting
func_96297_d,getFriendlyName,net/minecraft/util/EnumChatFormatting
toString,toString,net/minecraft/util/EnumChatFormatting
values,values,net/minecraft/util/EnumChatFormatting
func_82362_a,getRequiredPermissionLevel,net/minecraft/command/server/CommandEmote,net/minecraft/command/CommandEnchant,net/minecraft/command/CommandEntityData,net/minecraft/command/CommandExecuteAt,net/minecraft/command/CommandXP,net/minecraft/command/CommandFill,net/minecraft/command/CommandDifficulty,net/minecraft/command/CommandGameMode,net/minecraft/command/CommandGameRule,net/minecraft/command/CommandGive,net/minecraft/command/CommandHelp,net/minecraft/command/CommandServerKick,net/minecraft/command/CommandKill,net/minecraft/command/server/CommandListBans,net/minecraft/command/server/CommandListPlayers,net/minecraft/command/server/CommandMessage,net/minecraft/command/server/CommandMessageRaw,net/minecraft/command/server/CommandOp,net/minecraft/command/server/CommandPardonIp,net/minecraft/command/server/CommandPardonPlayer,net/minecraft/command/CommandParticle,net/minecraft/command/CommandPlaySound,net/minecraft/command/CommandReplaceItem,net/minecraft/command/server/CommandBroadcast,net/minecraft/command/server/CommandScoreboard,net/minecraft/command/server/CommandSetBlock,net/minecraft/command/server/CommandSetDefaultSpawnpoint,net/minecraft/command/CommandSetPlayerTimeout,net/minecraft/command/CommandSetSpawnpoint,net/minecraft/command/CommandShowSeed,net/minecraft/command/CommandSpreadPlayers,net/minecraft/command/CommandStats,net/minecraft/command/server/CommandSummon,net/minecraft/command/server/CommandTeleport,net/minecraft/command/server/CommandTestForBlock,net/minecraft/command/server/CommandTestFor,net/minecraft/command/CommandTime,net/minecraft/command/CommandTitle,net/minecraft/command/CommandToggleDownfall,net/minecraft/command/CommandTrigger,net/minecraft/command/CommandWeather,net/minecraft/command/server/CommandWhitelist,net/minecraft/command/CommandWorldBorder,net/minecraft/command/CommandBase,net/minecraft/command/server/CommandAchievement,net/minecraft/command/server/CommandBanIp,net/minecraft/command/server/CommandBanPlayer,net/minecraft/command/CommandBlockData,net/minecraft/command/CommandClearInventory,net/minecraft/command/CommandClone,net/minecraft/command/CommandCompare,net/minecraft/command/server/CommandDeOp,net/minecraft/command/CommandDebug,net/minecraft/command/CommandEffect
func_71515_b,processCommand,net/minecraft/command/server/CommandEmote,net/minecraft/command/CommandEnchant,net/minecraft/command/CommandEntityData,net/minecraft/command/CommandExecuteAt,net/minecraft/command/CommandXP,net/minecraft/command/CommandFill,net/minecraft/command/CommandDifficulty,net/minecraft/command/CommandGameMode,net/minecraft/command/CommandGameRule,net/minecraft/command/CommandGive,net/minecraft/command/CommandHelp,net/minecraft/command/CommandServerKick,net/minecraft/command/CommandKill,net/minecraft/command/server/CommandListBans,net/minecraft/command/server/CommandListPlayers,net/minecraft/command/server/CommandMessage,net/minecraft/command/server/CommandMessageRaw,net/minecraft/command/server/CommandOp,net/minecraft/command/server/CommandPardonIp,net/minecraft/command/server/CommandPardonPlayer,net/minecraft/command/CommandParticle,net/minecraft/command/CommandPlaySound,net/minecraft/command/server/CommandPublishLocalServer,net/minecraft/command/CommandReplaceItem,net/minecraft/command/server/CommandSaveAll,net/minecraft/command/server/CommandSaveOff,net/minecraft/command/server/CommandSaveOn,net/minecraft/command/server/CommandBroadcast,net/minecraft/command/server/CommandScoreboard,net/minecraft/command/server/CommandSetBlock,net/minecraft/command/server/CommandSetDefaultSpawnpoint,net/minecraft/command/CommandSetPlayerTimeout,net/minecraft/command/CommandSetSpawnpoint,net/minecraft/command/CommandShowSeed,net/minecraft/command/CommandSpreadPlayers,net/minecraft/command/CommandStats,net/minecraft/command/server/CommandStop,net/minecraft/command/server/CommandSummon,net/minecraft/command/server/CommandTeleport,net/minecraft/command/server/CommandTestForBlock,net/minecraft/command/server/CommandTestFor,net/minecraft/command/CommandTime,net/minecraft/command/CommandTitle,net/minecraft/command/CommandToggleDownfall,net/minecraft/command/CommandTrigger,net/minecraft/command/CommandWeather,net/minecraft/command/server/CommandWhitelist,net/minecraft/command/CommandWorldBorder,net/minecraft/command/ICommand,net/minecraft/command/server/CommandAchievement,net/minecraft/command/server/CommandBanIp,net/minecraft/command/server/CommandBanPlayer,net/minecraft/command/CommandBlockData,net/minecraft/command/CommandClearInventory,net/minecraft/command/CommandClone,net/minecraft/command/CommandCompare,net/minecraft/command/server/CommandDeOp,net/minecraft/command/CommandDebug,net/minecraft/command/CommandDefaultGameMode,net/minecraft/command/CommandEffect
